"시군구명","도로구간명","구간시점명","구간종점명","수종명","수목흉고직경","가로내녹지유형명","도로변녹지유형명","기후대구분명","입지명","지역X좌표","지역Y좌표","좌표계코드","시군구별가로수번호"
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,28,기타,기타,기타,기타,"354020.3742","361192.9292",EPSG:5186,86830
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354262.2797","360964.2372",EPSG:5186,87396
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354281.7578","360959.9819",EPSG:5186,87397
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,18,기타,기타,기타,기타,"354276.2773","360976.0603",EPSG:5186,87398
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,19,기타,기타,기타,기타,"354235.718","360984.8452",EPSG:5186,87399
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354056.936","361169.8688",EPSG:5186,88066
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354148.5675","361003.3319",EPSG:5186,88067
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,23,기타,기타,기타,기타,"354151.0855","360988.3622",EPSG:5186,89003
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,20,기타,기타,기타,기타,"354208.3984","360975.905",EPSG:5186,89004
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,22,기타,기타,기타,기타,"354229.6958","360986.2727",EPSG:5186,89005
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,27,기타,기타,기타,기타,"354132.9553","361156.6071",EPSG:5186,89006
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,24,기타,기타,기타,기타,"354119.2195","361152.6543",EPSG:5186,89735
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,27,기타,기타,기타,기타,"354112.0274","361070.4373",EPSG:5186,89736
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,19,기타,기타,기타,기타,"354269.322","360977.7503",EPSG:5186,89737
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,27,기타,기타,기타,기타,"354254.142","360966.015",EPSG:5186,90235
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,24,기타,기타,기타,기타,"354223.5026","360987.6934",EPSG:5186,90236
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,32,기타,기타,기타,기타,"354091.4489","361177.4793",EPSG:5186,90239
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354104.7724","361027.4781",EPSG:5186,90914
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354217.3222","360989.0911",EPSG:5186,90915
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354021.7384","361177.0768",EPSG:5186,91851
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354063.117","361168.5547",EPSG:5186,91852
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,35,기타,기타,기타,기타,"354047.0957","361187.1976",EPSG:5186,91854
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,17,기타,기타,기타,기타,"354263.1903","360979.0242",EPSG:5186,92578
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354083.7377","361164.0111",EPSG:5186,93307
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,23,기타,기타,기타,기타,"354176.7474","360982.7725",EPSG:5186,93308
