위치명,위도,경도,구간시점,구간종점,식재거리,총합계,왕벚나무,은행나무,느티나무,양버즘,이팝나무,메타세콰이아,칠엽수,튤립나무,벽오동,후박나무,먼나무,가시나무,녹나무,구군명,데이터기준일자
부산광역시 부산진구 가야대로,35.1545019,129.0334678,서면교차로,사상구경계,8883,518,,413,53,,,,,,,,26,,26,부산진구,2025-12-11
부산광역시 부산진구 성지곡로,35.1859841,129.048271,초읍로타리,성지곡로 33번길1,140,77,,,,,77,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 진남로,35.16555,129.0731479,진남로336,시영아파트,540,47,,,,,,,,,,,47,,,부산진구,2025-12-11
부산광역시 부산진구 동평로 183번길,35.1697096,129.0489306,초연로11,동성아파트,540,82,28,,,,,,54,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 초읍천로,35.1787318,129.046807,초연로11,연지자이2차,80,13,,,,,,,13,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 초연로,35.1736047,129.0467586,초연로11,연지자이2차(201동~213동인근),110,10,,,,,,,10,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 중앙대로 644번길,35.1492282,129.0617453,알리안츠생명,범4호교,940,22,,7,,,,,,,,15,,,,부산진구,2025-12-11
부산광역시 부산진구 황령대로 30번길,35.1460039,129.0625997,범4호교,성서교,380,34,,,,,,,,,,,34,,,부산진구,2025-12-11
부산광역시 부산진구 자유평화로 37번길,35.14272443,129.0626879,성서교,범5호교,640,47,,,,,,,,,,,,,47,부산진구,2025-12-11
부산광역시 부산진구 시민공원로 20번길,35.1630545,129.0523593,시민공원로22,서면동문굿모닝힐,155,17,,,17,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 범천로,35.1492168,129.0559186,범천2동주민센터,신천대로91,540,19,,19,,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 개금온정로,35.1544606,129.0251597,개금온정로17번길 77,가야대로 489,390,32,5,27,,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 백양관문로 지선,35.1674447,129.0269767,부산국제고등학교,동일스위트아파트,253,52,45,,7,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 화지로,35.1760575,129.0644758,부산정보고등학교,동평로 353,288,20,,,20,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 만리산로,35.1460165,129.0527717,범천동 DS협성엘리시안,범천동 DS협성엘리시안,112,14,14,,,,,,,,,,,,,부산진구,2025-12-11
부산광역시 엄광로,35.1510299,129.0442084,가야동 176-6,동의대 입구,192,23,,,23,,,,,,,,,,,부산진구,2025-12-11
부산광역시 전포대로 171번길,35.150785,129.062725,글로벌연구센터,글로벌연구센터,150,16,16,,,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 양연로,35.171828,129.080582,양정포레힐즈스위첸아파트,양정포레힐즈스위첸아파트,160,25,,,,,13,,,,,,12,,,부산진구,2025-12-11
부산광역시 부산진구 범일로 192번길,35.1465375,129.0625957,대원1단지아파트,범내골교차로,265,16,,,,,,,,,,,16,,,부산진구,2025-12-11
