기관명 ,도로명주소 ,시점 ,종점 ,식재거리,왕벚나무,은행나무,느티나무,양버즘,이팝나무,회화나무,칠엽수,팽나무,튤립나무,후박나무,먼나무,해송,가시나무,개잎갈나무,녹나무,데이터기준일자
부산광역시 사하구 ,부산광역시 사하구 장림로,장림사거리,장림홈플러스,3146,87,2,0,65,46,0,0,0,0,0,0,0,27,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 장평로,사하초교 삼거리,성보냉장,4717,200,111,22,120,30,0,0,0,0,0,0,0,21,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 장평로299번길,새마을금고 배고개점,신평LH천년나무 아파트,70,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 제석로,당리 동원아파트,부신일과학고교,2436,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 하신번영로,하단SK뷰아파트,장림포구,4330,318,83,0,109,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 하신번영로73번길,동국제강,66호광장,468,0,66,2,0,0,0,0,0,0,0,0,1,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 하신번영로107번길,신평역기지창,해인ENG,445,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 하신번영로127번길,사하보건소,중앙섬유,392,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 하신번영로151번길,신평역9번출구,신평동교차로,370,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 하신번영로201번길,하남중학교,삼호빌딩,180,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 하신중앙로,하단오거리,65호광장,3524,290,97,0,52,0,7,0,0,0,54,0,0,17,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 서포로30번길,구평택지개발 내부도로,구평택지개발 내부도로,2000,0,0,0,0,280,0,0,0,0,0,192,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 괴정로,사하힐스테이트,사하힐스테이트,300,33,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 신산북로43번길,신평초,사하뷰웰아파트,280,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
